Name,Description,File Name,Quantity
TL1015 ACTUATOR001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
TL1015 TERM002,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
TL1015 TERM003,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
SMD002,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
module-BGA_RG-4layers001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Board004,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Open CASCADE STEP translator 7.5 1.1.003,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
C33,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
6.1852e+09,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Extruded,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
C32,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
6.1852e+09,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Extruded063,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
C27,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
6.1852e+12,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
